Year,State,County,School District ,City ,Number Reporting,School,Public/Private,Age,Total_Enrolled,Total_Complete,Total_Exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No Record
2017,Maine,Sagadahoc,,,,,,KG,,,29,1,,,28,27,1,0.0,,324,,,,,,318,,,,,320,,323.0,,,,,,,,,,5
2017,Maine,Sagadahoc,,,,,,MS,,,16,0,,,16,16,0,364.0,,367,,,,,,366,,,,,363,,0.0,,,,,,,,,,1
2017,Maine,Somerset,,,,,,FG,,,27,0,,,27,24,3,0.0,,367,,,,,,360,,,,,357,,360.0,,,,,,,,,,4
2017,Maine,Somerset,,,,,,KG,,,49,2,,,47,43,4,0.0,,519,,,,,,494,,,,,507,,502.0,,,,,,,,,,6
2017,Maine,Somerset,,,,,,MS,,,34,0,,,34,32,2,582.0,,627,,,,,,624,,,,,622,,0.0,,,,,,,,,,27
2017,Maine,Waldo,,,,,,FG,,,30,0,,,30,29,1,0.0,,349,,,,,,347,,,,,346,,346.0,,,,,,,,,,2
2017,Maine,Waldo,,,,,,KG,,,22,0,,,22,20,2,0.0,,325,,,,,,316,,,,,317,,319.0,,,,,,,,,,8
2017,Maine,Waldo,,,,,,MS,,,31,0,,,31,28,3,348.0,,367,,,,,,363,,,,,358,,0.0,,,,,,,,,,4
2017,Maine,Washington,,,,,,FG,,,6,1,,,5,4,1,0.0,,262,,,,,,259,,,,,261,,261.0,,,,,,,,,,2
2017,Maine,Washington,,,,,,KG,,,5,0,,,5,4,1,0.0,,280,,,,,,272,,,,,279,,279.0,,,,,,,,,,9
2017,Maine,Washington,,,,,,MS,,,7,1,,,6,6,0,292.0,,306,,,,,,305,,,,,306,,0.0,,,,,,,,,,13
2017,Maine,York,,,,,,FG,,,66,2,,,64,58,6,0.0,,1644,,,,,,1630,,,,,1642,,1640.0,,,,,,,,,,7
2017,Maine,York,,,,,,KG,,,87,6,,,81,71,10,0.0,,1646,,,,,,1622,,,,,1626,,1633.0,,,,,,,,,,6
2017,Maine,York,,,,,,MS,,,73,1,,,72,71,1,1906.0,,2068,,,,,,2063,,,,,2069,,0.0,,,,,,,,,,135
