Year,County,SiteName,Enrollment,PBE,PME
2017-2018,Clackamas,OREGON TRAIL ELEMENTARY,515,30,1
2017-2018,Clackamas,OUR LADY OF THE LAKE,227,13,0
2017-2018,Clackamas,PARK ACADEMY,89,3,0
2017-2018,Clackamas,PARROTT CREEK RANCH,17,2,0
2017-2018,Clackamas,PHILANDER LEE ELEMENTARY,409,20,0
2017-2018,Clackamas,PORTLAND WALDORF SCHOOL,293,131,0
2017-2018,Clackamas,REDLAND ELEMENTARY,537,37,0
2017-2018,Clackamas,RENAISSANCE PUBLIC ACADEMY,111,30,0
2017-2018,Clackamas,RESURRECTION CATHOLIC PRESCHOOL AND KINDERGARTEN,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Clackamas,REX PUTNAM HIGH SCHOOL,"1,100",37,1
2017-2018,Clackamas,RIVER GROVE ELEMENTARY,541,29,0
2017-2018,Clackamas,RIVER MILL ELEMENTARY,368,15,0
2017-2018,Clackamas,RIVERGATE ADVENTIST ELEMENTARY AND CHILDCARE,114,12,0
2017-2018,Clackamas,RIVERSIDE ELEMENTARY,420,20,0
2017-2018,Clackamas,ROCK CREEK MIDDLE SCHOOL,866,50,2
2017-2018,Clackamas,ROSEMONT RIDGE MIDDLE SCHOOL,780,44,2
2017-2018,Clackamas,ROWE MIDDLE SCHOOL,739,25,0
2017-2018,Clackamas,RURAL DELL ELEMENTARY,236,16,0
2017-2018,Clackamas,SANDY GRADE,345,16,0
2017-2018,Clackamas,SANDY HIGH SCHOOL,"1,350",32,2
2017-2018,Clackamas,SCOUTERS MOUNTAIN,514,43,1
2017-2018,Clackamas,SOJOURNER ELEMENTARY SCHOOL,167,11,0
2017-2018,Clackamas,SONSHINE EXPRESS PRESCHOOL,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Clackamas,SPRING MOUNTAIN CHRISTIAN ACADEMY,121,73,0
2017-2018,Clackamas,SPRING MOUNTAIN ELEMENTARY,549,26,0
2017-2018,Clackamas,SPRINGWATER ENVIRONMENTAL SCIENCES SCHOOL,195,39,0
2017-2018,Clackamas,ST JOHN THE APOSTLE CATHOLIC SCHOOL,171,7,1
2017-2018,Clackamas,ST JOHN THE BAPTIST CATHOLIC SCHOOL,167,8,1
2017-2018,Clackamas,STAFFORD ACADEMY,20,7,0
2017-2018,Clackamas,STAFFORD PRIMARY,452,21,0
2017-2018,Clackamas,SUMMIT LEARNING CHARTER,373,105,0
2017-2018,Clackamas,SUN GARDEN MONTESSORI,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Clackamas,SUNNYSIDE ELEMENTARY,562,38,1
2017-2018,Clackamas,SUNNYSIDE MONTESSORI,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Clackamas,SUNSET PRIMARY,326,22,0
2017-2018,Clackamas,THREE RIVERS CHARTER SCHOOL,111,13,1
2017-2018,Clackamas,TIMBERLAKE Job Corps,73,0,0
2017-2018,Clackamas,TOUCHSTONE ELEMENTARY,87,9,1
2017-2018,Clackamas,TRILLIUM CREEK PRIMARY SCHOOL,611,47,3
2017-2018,Clackamas,TROST ELEMENTARY,426,8,0
2017-2018,Clackamas,TWO RIVERS FARM SCHOOL,31,22,1
2017-2018,Clackamas,VALLEY VIEW DAY SCHOOL,15,1,0
2017-2018,Clackamas,VIEW ACRES ELEMENTARY,438,20,1
2017-2018,Clackamas,WELCHES ELEMENTARY,215,16,0
2017-2018,Clackamas,WELCHES MIDDLE SCHOOL,98,5,0
2017-2018,Clackamas,WEST HILLS MONTESSORI SCHOOL,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Clackamas,WEST LINN HIGH SCHOOL,"1,836",64,5
2017-2018,Clackamas,WESTRIDGE ELEMENTARY,455,25,0
2017-2018,Clackamas,WHITCOMB ELEMENTARY,418,23,0
2017-2018,Clackamas,WILLAMETTE PRIMARY,562,23,0
2017-2018,Clackamas,WILLIAM KNIGHT ELEMENTARY,348,11,0
2017-2018,Clackamas,WILSONVILLE HIGH SCHOOL,"1,194",45,1
2017-2018,Clackamas,WOOD MIDDLE SCHOOL,558,13,0
2017-2018,Clatsop,Astor Elementary,422,14,0
2017-2018,Clatsop,Astoria High School,583,25,0
2017-2018,Clatsop,Astoria Middle School,439,20,0
2017-2018,Clatsop,Broadway Middle School,353,15,0
2017-2018,Clatsop,Gearhart Elementary,299,19,0
2017-2018,Clatsop,Hilda Lahti Elementary,288,9,0
2017-2018,Clatsop,Hilda Lahti Junior High,74,0,0
2017-2018,Clatsop,Jewell Elementary School,73,7,0
2017-2018,Clatsop,Jewell High School,54,5,2
2017-2018,Clatsop,Jewell Middle School,37,0,0
2017-2018,Clatsop,Knappa High School,134,3,1
2017-2018,Clatsop,Lewis & Clark Elementary,439,21,0
2017-2018,Clatsop,North Coast Christian School - Main Campus,72,12,0
2017-2018,Clatsop,Seaside Heights Elementary,452,13,1
2017-2018,Clatsop,Seaside High School,418,14,0
2017-2018,Clatsop,Warrenton Grade School 4-8,403,25,1
2017-2018,Clatsop,Warrenton Grade School K-3,329,28,0
2017-2018,Clatsop,Warrenton High School,260,12,0
2017-2018,Columbia,Clatskanie Elementary,363,31,1
2017-2018,Columbia,Clatskanie Middle/High School,338,18,0
2017-2018,Columbia,Columbia County Christian School,55,9,0
2017-2018,Columbia,North Columbia Academy,41,0,0
2017-2018,Columbia,Piercing Arrow Private School,16,4,0
2017-2018,Columbia,Rainier Hudson Park Elementary,469,17,0
2017-2018,Columbia,Rainier Junior/Senior High School,414,12,1
2017-2018,Columbia,Sauvie Island Academy,203,40,2
2017-2018,Columbia,Scappoose Adventist School,34,3,0
2017-2018,Columbia,Scappoose Grant Watts Grade School,378,16,0
2017-2018,Columbia,Scappoose High School,749,26,0
2017-2018,Columbia,Scappoose Middle School,332,8,0
2017-2018,Columbia,Scappoose Otto H.H. Peterson,465,19,0
2017-2018,Columbia,Scappoose Warren Elementary,180,10,1
2017-2018,Columbia,South Columbia Family School,71,19,0
2017-2018,Columbia,St Helens Yankton Arthur Academy,219,4,0
2017-2018,Columbia,St. Helens Columbia City Elementary,237,11,3
2017-2018,Columbia,St. Helens Columbia County Education Campus (CCEC),79,0,0
2017-2018,Columbia,St. Helens High School,876,9,2
2017-2018,Columbia,St. Helens Lewis & Clark Elementary,516,20,0
2017-2018,Columbia,St. Helens McBride Elementary,615,17,1
2017-2018,Columbia,St. Helens Middle School,419,13,0
2017-2018,Columbia,Sunnyside Day Care & Learning Center LLC,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Columbia,Vernonia Elementary,224,15,0
2017-2018,Columbia,Vernonia High School,183,14,0
2017-2018,Columbia,Vernonia Middle School,107,7,0
2017-2018,Columbia,Vernonia Mist Grade School,18,2,0
2017-2018,Coos,Bandon High School,211,13,0
2017-2018,Coos,Belloni On Campus School,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Coos,Blossom Gulch Elementary,563,27,0
2017-2018,Coos,Christ Lutheran Church and School,39,3,0
2017-2018,Coos,COASTLINE - ELEMENTARY SCHOOL,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Coos,Coastline - North Bend Middle School,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Coos,Coos Alternative Programs,10,0,0
2017-2018,Coos,Coquille Jr/Sr  High School,343,14,1
2017-2018,Coos,Coquille Valley Elementary School,406,14,0
2017-2018,Coos,Destinations Academy,83,3,0
2017-2018,Coos,Gold Coast Christian School,15,2,0
2017-2018,Coos,Harbor Lights Middle School,232,19,1
2017-2018,Coos,Hillcrest Elementary,463,15,0
2017-2018,Coos,Kingsview Christian School,69,12,0
2017-2018,Coos,Lighthouse School,210,14,0
2017-2018,Coos,Lincoln School Of Early Learning,77,3,0
2017-2018,Coos,Madison Elementary,380,6,1
2017-2018,Coos,Marshfield High School,934,12,0
2017-2018,Coos,Millicoma Middle School,496,10,1
2017-2018,Coos,Myrtle Crest Elementary,314,7,0
2017-2018,Coos,Myrtle Point Junior/Senior High School,227,5,1
2017-2018,Coos,North Bay Elementary,499,18,0
2017-2018,Coos,North Bend High School,783,27,5
2017-2018,Coos,North Bend Middle School,580,18,1
2017-2018,Coos,Ocean Crest Elementary School,241,24,1
2017-2018,Coos,Oregon Virtual Academy,"2,048",264,3
2017-2018,Coos,Powers School District,122,0,0
2017-2018,Coos,Resource Link Public Charter School,70,6,0
2017-2018,Coos,Sped Ed Placeholder,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Coos,Sunset Middle School,424,9,0
2017-2018,Coos,United Valley Christian Academy,20,3,0
2017-2018,Coos,Winter Lakes School,95,4,0
2017-2018,Crook,Barnes Butte Elementary,626,17,0
2017-2018,Crook,Brothers Elementary,12,3,0
2017-2018,Crook,COIC Alternative Education - Crook County,20,0,0
2017-2018,Crook,CROOK COUNTY HIGH ONLINE CIRRICULUM,28,2,0
2017-2018,Crook,Crook County High School,705,14,0
2017-2018,Crook,Crook County Middle School,612,21,0
2017-2018,Crook,Crook County Pioneer Secondary  Alternative HS,46,1,0
2017-2018,Crook,Crooked River Elementary,587,19,0
2017-2018,Crook,High Desert Christian Academy,128,20,0
2017-2018,Crook,Paulina Elementary School,20,3,0
2017-2018,Crook,Powell Butte Community Charter School,201,13,2
2017-2018,Crook,Rimrock Trails Alternative School,16,0,0
2017-2018,Curry,Azalea Middle School,356,28,1
2017-2018,Curry,Brookings Harbor Christian School,47,10,0
2017-2018,Curry,Brookings-Harbor High School,501,25,2
2017-2018,Curry,Driftwood Elementary,153,15,1
2017-2018,Curry,Gold Beach High School,167,8,2
2017-2018,Curry,Kalmiopsis Elementary School,755,56,1
2017-2018,Curry,Pacific High School,61,4,0
2017-2018,Curry,Riley Creek Elementary,306,18,0
2017-2018,Deschutes,ACADEMY AT SISTERS,11,0,0
2017-2018,Deschutes,AMITY CREEK MAGNET SCHOOL,166,42,1
2017-2018,Deschutes,BEAR CREEK ELEMENTARY,572,45,0
2017-2018,Deschutes,BEND INTERNATIONAL SCHOOL,185,53,2
2017-2018,Deschutes,BEND SENIOR HIGH SCHOOL,"1,668",93,2
2017-2018,Deschutes,BRIDGE CHARTER ACADEMY,247,119,0
2017-2018,Deschutes,BUCKINGHAM ELEMENTARY SCHOOL,561,46,1
2017-2018,Deschutes,CASCADE MIDDLE SCHOOL,644,41,1
2017-2018,Deschutes,CASCADES  ACADEMY,193,32,0
2017-2018,Deschutes,CENTRAL CHRISTIAN SCHOOL,278,32,0
2017-2018,Deschutes,CENTRAL OREGON INTERGOVERNMENTAL COUNCIL,110,4,0
2017-2018,Deschutes,DESCHUTES RIVER MONTESSORI SCHOOL,18,0,0
2017-2018,Deschutes,DESERT SKY MONTESSORI,94,36,1
2017-2018,Deschutes,EASTMONT COMMUNITY SCHOOL,77,11,0
2017-2018,Deschutes,EDWIN BROWN EDUCATION CENTER,41,2,0
2017-2018,Deschutes,ELK MEADOW ELEMENTARY,570,38,0
2017-2018,Deschutes,ELTON GREGORY MIDDLE SCHOOL,616,16,1
2017-2018,Deschutes,ENSWORTH ELEMENTARY,203,12,1
2017-2018,Deschutes,EVERGREEN ACADEMY,15,0,0
2017-2018,Deschutes,FORESIGHT LEARNING CENTER,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Deschutes,HIGH DESERT MIDDLE SCHOOL,764,39,0
2017-2018,Deschutes,HIGH DESERT MONTESSORI,11,0,0
2017-2018,Deschutes,HIGH LAKES ELEMENTARY SCHOOL,612,59,1
2017-2018,Deschutes,HIGHLAND ELEMENTARY,389,61,1
2017-2018,Deschutes,J BAR J LEARNING CENTER & BOYS RANCH,34,0,0
2017-2018,Deschutes,JOHN TUCK ELEMENTARY,375,16,0
2017-2018,Deschutes,JUNIPER ELEMENTARY,489,35,2
2017-2018,Deschutes,LA PINE ELEMENTARY,383,15,0
2017-2018,Deschutes,LA PINE HIGH SCHOOL,354,9,0
2017-2018,Deschutes,LA PINE MIDDLE SCHOOL,304,19,0
2017-2018,Deschutes,LAVA RIDGE ELEMENTARY,581,41,0
2017-2018,Deschutes,M.A. LYNCH ELEMENTARY SCHOOL,362,10,0
2017-2018,Deschutes,MARSHALL HIGH SCHOOL,118,4,0
2017-2018,Deschutes,MILLER ELEMENTARY SCHOOL,629,60,3
2017-2018,Deschutes,MORNING STAR CHRISTIAN SCHOOL,138,25,0
2017-2018,Deschutes,MOUNTAIN VIEW HIGH SCHOOL,"1,317",55,1
2017-2018,Deschutes,NEW LEAF ACADEMY,23,0,0
2017-2018,Deschutes,OBSIDIAN MIDDLE SCHOOL,610,20,1
2017-2018,Deschutes,PACIFIC CREST MIDDLE SCHOOL,738,59,4
2017-2018,Deschutes,PILOT BUTTE  MIDDLE SCHOOL,630,46,1
2017-2018,Deschutes,PINE RIDGE ELEMENTARY SCHOOL,500,50,1
2017-2018,Deschutes,PONDEROSA ELEMENTARY SCHOOL,573,31,0
2017-2018,Deschutes,R E JEWELL ELEMENTARY,527,25,0
2017-2018,Deschutes,REALMS CHARTER SCHOOL,149,30,0
2017-2018,Deschutes,REDMOND EARLY LEARNING CENTER,376,23,0
2017-2018,Deschutes,REDMOND HIGH SCHOOL,931,19,1
2017-2018,Deschutes,REDMOND PROFICIENCY ACADEMY,881,62,2
2017-2018,Deschutes,RIDGEVIEW HIGH SCHOOL,886,25,1
2017-2018,Deschutes,ROSLAND ELEMENTARY,186,18,0
2017-2018,Deschutes,SAGE ELEMENTARY SCHOOL,497,25,1
2017-2018,Deschutes,SAMARA LEARNING CENTER,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Deschutes,SEVEN PEAKS SCHOOL,159,15,0
2017-2018,Deschutes,SILVER RAIL ELEMENTARY,465,33,1
2017-2018,Deschutes,SISTERS CHRISTIAN ACADEMY,39,3,0
2017-2018,Deschutes,SISTERS ELEMENTARY SCHOOL,320,41,0
2017-2018,Deschutes,SISTERS HIGH SCHOOL,427,21,0
2017-2018,Deschutes,SISTERS MIDDLE SCHOOL,323,25,0
2017-2018,Deschutes,SKY VIEW MIDDLE SCHOOL,663,40,1
2017-2018,Deschutes,ST. FRANCIS OF ASSISI CATHOLIC SCHOOL,90,4,0
2017-2018,Deschutes,ST. THOMAS ACADEMY,64,3,0
2017-2018,Deschutes,SUMMIT HIGH SCHOOL,"1,500",94,0
2017-2018,Deschutes,TERREBONNE COMMUNITY SCHOOL,404,18,0
2017-2018,Deschutes,THE COTTAGE DAYCARE INC.,14,1,0
2017-2018,Deschutes,THE MONTESSORI CENTER   AWBREY BUTTE,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Deschutes,THE MONTESSORI CENTER- NW CROSSING,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Deschutes,THREE RIVERS ELEMENTARY SCHOOL,426,45,1
2017-2018,Deschutes,THREE SISTERS ADVENTIST CHRISTIAN SCHOOL,31,8,0
2017-2018,Deschutes,TOM MCCALL ELEMENTARY,447,14,0
2017-2018,Deschutes,TRINITY LUTHERAN SCHOOL,254,19,1
2017-2018,Deschutes,TUMALO COMMUNITY SCHOOL,392,46,0
2017-2018,Deschutes,VERN PATRICK ELEMENTARY,378,6,0
2017-2018,Deschutes,VICTORY CHRISTIAN ACADEMY,11,0,0
2017-2018,Deschutes,WALDORF SCHOOL OF BEND,85,45,0
